ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Striga_Count_Ave,Striga_Count_SE,Sorghum_Count_Ave,Sorghum_Count_SE,Striga_count.Sorghum_count,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,log.Seedbank_Ave,log.Seedbank_SE,log.Infestation_Ave,log.Infestation_SE,Bacteria_ShannonIndex,Fungus_ShannonIndex
E01,Kewet,1391,40.01488889,9.913222222,7.6,172,11.7,2.8,18,0,0,164,5.6,1.3,3.4,452,96,0.5,730,4.8,380,18,65,0.41,2.5,0.6,1780,14,80,10,6.1,4.3,46,44,0,421,0,0,7.5,0.866025404,0,0,0,0.939335861,0.933333333,0.693147181,0.641853886,0,0,6.41883934,4.880135844
E02,Kewet,1386,40.01261111,9.923694444,7.5,260,26,5.3,23,1.6,0.3,75,6.3,1.3,4,489,93,0,40,5.8,430,25,47,0.36,2,0.78,1230,17,45,39,5.6,5.7,48,41,0,487,0,0,7,2.273030283,0,0,0,1.911657426,1.9,1.098612289,1.064710737,0,0,6.209225417,4.844425002
E03,Jile-Timuga,1663,39.93683333,10.45925,6.4,336,15.5,4.6,11,0,0,133,7,2.1,2.1,279,83,0,40,4.9,0,9,57,0.45,0.9,0.23,880,10,55,41,2,1.3,34,29,34,337,102.5,28.28574435,8,0.816496581,12.8125,118,38.6,25.10361451,6.321392252,3.270835564,1.987874348,4.778913387,3.678829118,6.334832755,4.969961319
E04,Jile-Timuga,1413,39.96775,10.24527778,7.2,494,27,6.8,25,0.6,0.2,98,8.3,2.1,2.1,282,71,0.8,220,5.9,315,20,45,0.38,1.4,0.22,2460,6,170,88,3.7,1.3,51,44,0,396,199.25,23.69027578,10.75,1.030776406,18.53488372,170.2,39.5,5.274766507,2.673532827,1.84582669,1.30833282,5.142832464,3.701301974,6.550061184,4.424735943
E05,Haftay-Humera,668,36.77644444,14.19330556,7.6,576,17.7,4,191,0.7,0.2,40,4.3,1,3.1,370,84,0,0,5,175,9,69,0.41,1.2,0.13,520,23,10,71,2.9,0.5,48,49,0,439,3.5,1.443375673,11.75,2.05649378,0.29787234,3.4,1.7,3.292762586,1.905255888,1.466337069,1.064710737,1.470175845,0.993251773,6.413738749,4.546235172
E06,Abergele,1627,38.99227778,13.23288889,6.8,200,17.7,13,0,0,0,29,1.9,1.4,1.1,139,85,0,40,2.7,0,14,10,NA,0.2,0,790,2,70,66,0,0,38,42,20,134,12.5,2.217355783,10.5,0.645497224,1.19047619,10.1,1.5,10.85697161,3.131737182,2.48490665,1.410986974,2.406945108,0.916290732,6.353617298,4.74288745
E07,Artuma-Fursi,1461,39.92683333,10.52166667,6.2,359,21.4,8.5,11,0.7,0.3,150,4.3,1.7,0.1,213,85,0.8,260,3,225,9,83,0.61,1.9,0,1420,13,75,98,3.1,0,41,12,44,252,1.25,0.62915287,8.5,1.322875656,0.147058824,1.6,0.9,3.439307358,3.433333333,1.466337069,1.481604541,0.965080896,0.641853886,6.424814007,4.6518455
E08,Artuma-Fursi,1452,39.94766667,10.515,6.5,319,23.1,6.9,7,0.6,0.2,249,3.3,1,2.1,283,84,2.8,670,6.8,455,31,41,0.9,1.9,0.31,1750,11,100,103,2.1,2,51,27,18,337,16.5,1.848422751,8.25,1.030776406,2,18.4,3.5,11.94841078,2.754592125,2.564949357,1.335001067,2.965273066,1.504077397,6.550088124,4.061693616
E09,Abergele,1587,38.99347222,13.25727778,6.7,60,4,4.5,0,0,0,39,1.6,1.8,1.2,77,87,0.6,0,3,0,1,7,NA,0,0.13,0,5,0,7,0,0.5,12,42,46,89,3.5,0.957427108,10.75,0.853912564,0.325581395,3.1,1,11.56381545,3.165964835,2.538973871,1.435084525,1.404870747,0.693147181,6.583825359,5.1151827
E10,Haftay-Humera,668,36.57638889,13.97044444,7.6,795,57.7,15,290,2.6,0.7,49,4.9,1.2,2.4,340,84,0,50,3.4,0,5,94,0.37,1.4,0,570,25,10,40,3.8,0,50,35,11,395,0,0,NA,NA,NA,0,0,4.997944536,5,1.791759469,1.791759469,0,0,6.624653128,4.882277317
E11,Abergele,1478,38.99627778,13.43036111,7.1,217,29.7,14,7,0.4,0.2,24,5.1,2.4,0.1,179,84,0,30,4.2,275,15,60,0.52,1.7,0,1070,15,50,0,3.3,0,22,57,18,213,61,5.016638981,10.75,2.05649378,5.674418605,55.7,12.4,10.92250595,3.458805189,2.456735773,1.504077397,4.037774211,2.595254707,6.62628673,5.135474601
