ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Striga_Count_Ave,Striga_Count_SE,Sorghum_Count_Ave,Sorghum_Count_SE,Striga_count.Sorghum_count,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,Suicidal_Germ_Ave,Suicidal_Germ_SE,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Abditibacteriota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Cyanobacteria,Deinococcota,Entotheonellaeota,Fibrobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,Spirochaetota,Sumerlaeota,Verrucomicrobiota
E01,Kewet,1391,40.01488889,9.913222222,7.6,172,11.7,2.8,18,0,0,164,5.6,1.3,3.4,452,96,0.5,730,4.8,380,18,65,0.41,2.5,0.6,1780,14,80,10,6.1,4.3,46,44,0,421,0,0,7.5,0.866025404,0,0,0,0.939335861,0.933333333,0,0,300,309.0357143,5.166954577,308.9070317,8.547849214,5.243682937,0.992946692,141.7774385,75.58129547,NA,0.252252252,0.043957751,0.006057782,0.070208139,NA,0.077819199,NA,NA,NA,NA,NA,0.143367505,NA,0.088070829,NA,0.142435539,0.166045356,NA,NA,0.009785648
E02,Kewet,1386,40.01261111,9.923694444,7.5,260,26,5.3,23,1.6,0.3,75,6.3,1.3,4,489,93,0,40,5.8,430,25,47,0.36,2,0.78,1230,17,45,39,5.6,5.7,48,41,0,487,0,0,7,2.273030283,0,0,0,1.911657426,1.9,0,0,297,301.6216216,3.151637226,303.0988047,8.125581224,5.116758286,0.99132149,115.2271579,74.57947028,0.000397535,0.157821507,0.03875969,0.004372888,0.077320612,NA,0.08765653,0.000795071,NA,NA,NA,NA,0.08427748,0.020473067,0.096998609,NA,0.116080302,0.311468893,NA,NA,0.003577818
E03,Jile-Timuga,1663,39.93683333,10.45925,6.4,336,15.5,4.6,11,0,0,133,7,2.1,2.1,279,83,0,40,4.9,0,9,57,0.45,0.9,0.23,880,10,55,41,2,1.3,34,29,34,337,102.5,28.28574435,8,0.816496581,12.8125,118,38.6,25.10361451,6.321392252,66.88126268,15.61724474,250,260.5555556,6.314180139,258.0650939,7.891713674,5.03700301,0.990992298,111.0161049,59.44897848,NA,0.286656201,0.13877551,0.007378336,0.075824176,NA,0.090423862,NA,NA,NA,NA,NA,0.125588697,0.000470958,0.039246468,0.001098901,0.067660911,0.166091052,NA,NA,0.000784929
E04,Jile-Timuga,1413,39.96775,10.24527778,7.2,494,27,6.8,25,0.6,0.2,98,8.3,2.1,2.1,282,71,0.8,220,5.9,315,20,45,0.38,1.4,0.22,2460,6,170,88,3.7,1.3,51,44,0,396,199.25,23.69027578,10.75,1.030776406,18.53488372,170.2,39.5,5.274766507,2.673532827,0,0,479,522.6716418,13.1184465,519.4046384,10.22259376,5.617528062,0.994517525,182.3993657,143.0805553,NA,0.237998809,0.153782013,NA,0.082787373,NA,0.071351995,NA,NA,NA,NA,0.005717689,0.09434187,NA,0.056819535,0.000714711,0.072424062,0.217986897,NA,NA,0.006075045
E05,Haftay-Humera,668,36.77644444,14.19330556,7.6,576,17.7,4,191,0.7,0.2,40,4.3,1,3.1,370,84,0,0,5,175,9,69,0.41,1.2,0.13,520,23,10,71,2.9,0.5,48,49,0,439,3.5,1.443375673,11.75,2.05649378,0.29787234,3.4,1.7,3.292762586,1.905255888,0,0,373,383.875,5.483960435,384.0219884,9.185610346,5.464510236,0.994253211,174.0102057,101.2763326,0.001100379,0.186942169,0.199168603,NA,0.114072625,0.001100379,0.145005502,0.002200758,NA,NA,NA,NA,0.054407629,NA,0.023230224,NA,0.081183519,0.188531605,NA,NA,0.003056608
E06,Abergele,1627,38.99227778,13.23288889,6.8,200,17.7,13,0,0,0,29,1.9,1.4,1.1,139,85,0,40,2.7,0,14,10,NA,0.2,0,790,2,70,66,0,0,38,42,20,134,12.5,2.217355783,10.5,0.645497224,1.19047619,10.1,1.5,10.85697161,3.131737182,28.74492754,17.97560847,301,317.7307692,8.105471262,313.543565,8.597890533,5.196707322,0.991840517,122.5567801,75.91619212,0.00167551,0.161128176,0.249232058,0.005445406,0.094387043,NA,0.139486177,NA,NA,NA,NA,0.003909522,0.06087685,NA,0.022340128,0.001535884,0.052638928,0.204831053,NA,NA,0.002513264
E07,Artuma-Fursi,1461,39.92683333,10.52166667,6.2,359,21.4,8.5,11,0.7,0.3,150,4.3,1.7,0.1,213,85,0.8,260,3,225,9,83,0.61,1.9,0,1420,13,75,98,3.1,0,41,12,44,252,1.25,0.62915287,8.5,1.322875656,0.147058824,1.6,0.9,3.439307358,3.433333333,0,0,246,251.9130435,4.014302218,252.7799393,7.841876346,5.009857517,0.990908475,109.9925499,58.2107362,NA,0.310162379,0.134099617,0.00711549,0.063127167,NA,0.024083196,NA,NA,NA,NA,NA,0.13847838,NA,0.020434227,0.001642036,0.111658456,0.189199051,NA,NA,NA
E08,Artuma-Fursi,1452,39.94766667,10.515,6.5,319,23.1,6.9,7,0.6,0.2,249,3.3,1,2.1,283,84,2.8,670,6.8,455,31,41,0.9,1.9,0.31,1750,11,100,103,2.1,2,51,27,18,337,16.5,1.848422751,8.25,1.030776406,2,18.4,3.5,11.94841078,2.754592125,0,0,294,303.2857143,5.047650096,305.1908357,8.473973548,5.112684738,0.990827896,109.0262424,73.58194553,0.000945031,0.267286187,0.16490786,0.010710348,0.076547488,NA,0.055126792,0.001732556,NA,NA,NA,NA,0.117183808,NA,0.028980942,NA,0.097023153,0.178925815,0.00031501,NA,0.00031501
E09,Abergele,1587,38.99347222,13.25727778,6.7,60,4,4.5,0,0,0,39,1.6,1.8,1.2,77,87,0.6,0,3,0,1,7,NA,0,0.13,0,5,0,7,0,0.5,12,42,46,89,3.5,0.957427108,10.75,0.853912564,0.325581395,3.1,1,11.56381545,3.165964835,24.91999413,14.2037187,226,228.2916667,2.146247532,230.2857766,7.487952665,5.037613922,0.99189203,123.3354351,52.13761459,0.001412429,0.160310734,0.196468927,NA,0.100706215,0.000282486,0.136299435,0.000282486,NA,NA,0.001694915,0.005225989,0.088841808,NA,0.022033898,NA,0.024293785,0.261581921,NA,NA,0.000564972
E10,Haftay-Humera,668,36.57638889,13.97044444,7.6,795,57.7,15,290,2.6,0.7,49,4.9,1.2,2.4,340,84,0,50,3.4,0,5,94,0.37,1.4,0,570,25,10,40,3.8,0,50,35,11,395,0,0,NA,NA,NA,0,0,4.997944536,5,0,0,472,506.2631579,11.41225293,499.7825112,9.968944452,5.66744679,0.994902642,196.1800733,140.1547666,0.000398168,0.095859048,0.315747561,NA,0.134182759,0.000796337,0.120545491,NA,0.000398168,NA,NA,0.001791758,0.0151304,NA,0.021899263,0.015528569,0.056141748,0.218096755,NA,NA,0.003483974
E11,Abergele,1478,38.99627778,13.43036111,7.1,217,29.7,14,7,0.4,0.2,24,5.1,2.4,0.1,179,84,0,30,4.2,275,15,60,0.52,1.7,0,1070,15,50,0,3.3,0,22,57,18,213,61,5.016638981,10.75,2.05649378,5.674418605,55.7,12.4,10.92250595,3.458805189,82.48131176,1.148186977,212,215.2142857,2.915911401,215.1847995,7.174255423,4.97879366,0.991322399,115.2392189,48.00474996,0.002851711,0.202199891,0.211162412,0.002715915,0.065453558,0.001086366,0.092069527,0.00095057,NA,NA,NA,NA,0.041689299,NA,0.024443237,0.005024443,0.132672461,0.215779468,NA,NA,0.001901141
E12,Raya-Kobo,1607,39.63388889,11.99144444,7.5,431,26.4,14,21,1.3,0.7,34,1,0.5,0.1,286,85,0.3,230,5.1,0,10,38,0.18,0.6,0.05,590,10,35,67,3.3,0,16,72,9,189,115.75,16.87391972,7.5,1.848422751,15.43333333,185.9,81.5,66.5077498,18.0267394,4.765784765,1.937513441,459,476.68,6.805149619,481.7975579,9.670692218,5.654934691,0.99514386,205.9248631,134.7835086,0.002379721,0.195137093,0.080910502,0.004966374,0.109570616,0.000724263,0.054526643,NA,NA,NA,NA,NA,0.091774444,0.000931195,0.04128298,NA,0.083600621,0.316813244,NA,NA,0.017382307
E13,Tahtay-Adiabo,1042,37.74052778,14.53666667,6.6,337,50.4,20,0,0.6,0.2,40,18.3,7.4,0.1,100,40,0,0,2.7,195,9,70,0.38,1.4,0,740,18,25,107,3.7,0,28,40,28,248,0,0,12,0.707106781,0,0,0,0,0,0,0,278,287.1304348,5.410892602,286.2295039,8.298575864,5.163146442,0.992012314,125.1927094,68.33463718,0.000556715,0.177453027,0.157689631,NA,0.093389005,NA,0.049826026,0.001809325,NA,NA,NA,NA,0.140848991,NA,0.025887265,0.012247738,0.135560195,0.203201113,NA,NA,0.001530967
E14,Raya-Alamata,1468,39.62508333,12.49713889,7.4,380,18.5,20,17,0,0,272,2,2.2,0.2,200,78,5.3,1050,4.7,70,1,163,0.39,1.1,0.15,970,12,55,65,2.8,0.7,10,78,9,91,124.25,19.1109698,9.5,0.645497224,13.07894737,115,18.5,22.38018847,5.271727526,63.97769267,10.32166007,174,176.625,2.827797211,176.6397761,5.821768187,4.866519306,0.99063962,106.833264,37.29028988,NA,0.239163849,0.188595143,0.001998156,0.092683677,NA,0.075929911,NA,NA,NA,NA,NA,0.058715032,NA,0.048263142,NA,0.098370735,0.196280357,NA,NA,NA
