ID,site,Altitude,lon,lat,pH,Mg_avail,Mg_total,Mg,Na_avail,Na_total,Na,K_avail,K_total,K,Ca_avail,Ca_total,Ca,P_avail,P_total,S_avail,S_total,S.delivery,C.S_ratio,C.OS.ratio,C,C_inorganic,N,C.N_ratio,N.delivery,Microbial_activity,organic,Carbonated_lime,Clay,Silt,Sand,Clay_humus,Normalized_Striga_Count_Ave,Normalized_Striga_Count_SE,Seedbank_Ave,Seedbank_SE,log.Seedbank_Ave,log.Seedbank_SE,log.Infestation_Ave,log.Infestation_SE,Suicidal_Germ_Ave,Suicidal_Germ_SE,BACTERIA_ShannonIndex,FUNGUS_ShannonIndex,Aphelidiomycota,Ascomycota,Basidiobolomycota,Basidiomycota,Blastocladiomycota,Calcarisporiellomycota,Chytridiomycota,Entomophthoromycota,Entorrhizomycota,Fungi_phy_Incertae_sedis,Glomeromycota,Kickxellomycota,Monoblepharomycota,Mortierellomycota,Mucoromycota,Neocallimastigomycota,Olpidiomycota,Rozellomycota,Fungus_NA,Abditibacteriota,Acidobacteriota,Actinobacteriota,Aenigmarchaeota,Armatimonadota,Bacteroidota,Bdellovibrionota,Chloroflexi,Crenarchaeota,Cyanobacteria,Dadabacteria,Deinococcota,Dependentiae,Desulfobacterota,Elusimicrobiota,Entotheonellaeota,FCPU426,Fibrobacterota,Firmicutes,GAL15,Gemmatimonadota,Hydrogenedentes,Latescibacterota,MBNT15,Methylomirabilota,Myxococcota,Bacteria_NA,NB1.j,Nanoarchaeota,Nitrospirota,Patescibacteria,Planctomycetota,Proteobacteria,RCP2.54,SAR324.clade.Marine.group.B.,Spirochaetota,Sumerlaeota,TX1A.33,Thermoplasmatota,Thermotogota,Verrucomicrobiota,WS2,Zixibacteria,Agro_Climate_type
E01,Kewet,1391,40.01488889,9.913222222,7.6,172,11.7,2.8,18,0,0,164,5.6,1.3,3.4,452,96,0.5,730,4.8,380,18,65,0.41,2.5,0.6,1780,14,80,10,6.1,4.3,46,44,0,421,0,0,0.939335861,0.933333333,0.693147181,0.641853886,0,0,0,0,6.41883934,4.880135844,0,3.386496,0,0.48000393,-2.355763694,0,1.08521166,0,0,0,-0.763870091,-3.950812869,0,0.315883078,-0.641835209,0,0,0,2.444687194,0,4.467874741,2.965857078,-3.613394134,0.264727319,2.067915484,0,2.799518225,-1.576512207,-3.613394134,0,0,0,-1.667483985,-3.102568511,0,0,-2.766096274,-0.201146917,-1.71627415,3.29669176,0,-0.212196753,0,1.370212487,2.067915484,-3.325712062,0,0,2.067915484,-0.40794133,2.695311287,3.606003854,2.061073953,-4.018859243,0,0,0,-2.072949093,0,1.196076515,-2.632564881,0,4
E02,Kewet,1386,40.01261111,9.923694444,7.5,260,26,5.3,23,1.6,0.3,75,6.3,1.3,4,489,93,0,40,5.8,430,25,47,0.36,2,0.78,1230,17,45,39,5.6,5.7,48,41,0,487,0,0,1.911657426,1.9,1.098612289,1.064710737,0,0,0,0,6.209225417,4.844425002,0,3.792870358,0,0.696713127,0,0,1.522695079,0,0,0,0.500366095,-3.481861169,0,-1.660248737,-1.603090323,0,0,-2.835234004,3.067789573,-3.356700962,3.930175449,2.578193233,0,0.622980692,1.522305889,-1.698472886,2.930227798,-2.034945122,-2.663553782,0,0,0,-1.698472886,-2.258088674,0,0,0,-1.484898785,-1.309008119,2.831049682,0,-0.77270341,0,1.074115837,1.552270678,-1.74726305,-1.564941493,0,1.776151965,-1.564941493,2.271819028,3.692553879,1.451410068,-3.644383035,0,0,0,-0.791751605,0,0.356871104,0,0,4
E03,Jile-Timuga,1663,39.93683333,10.45925,6.4,336,15.5,4.6,11,0,0,133,7,2.1,2.1,279,83,0,40,4.9,0,9,57,0.45,0.9,0.23,880,10,55,41,2,1.3,34,29,34,337,118,38.6,25.10361451,6.321392252,3.270835564,1.987874348,4.778913387,3.678829118,66.88126268,15.61724474,6.334832755,4.969961319,0,4.303421098,0,1.849327335,-1.297920571,0,1.923408383,0,-4.647824658,0,0.579265199,-1.8294264,0,-0.120616014,-3.261530297,0,0,0,2.501895926,-3.245489753,4.00585523,2.990879837,0,1.065309372,2.190413276,-2.685873965,2.744098034,-1.636051841,-0.894114496,0,0,0,-0.327719021,0,-1.79857077,0,0,0.147339379,0,2.727683524,0,-0.131974444,0,-0.287978693,1.52307398,-3.245489753,0,-3.938636934,1.34710165,-1.230586733,2.202324624,3.568778683,-1.048265176,-3.245489753,0,-3.533171826,0,0,0,2.736555572,0,0,12
E04,Jile-Timuga,1413,39.96775,10.24527778,7.2,494,27,6.8,25,0.6,0.2,98,8.3,2.1,2.1,282,71,0.8,220,5.9,315,20,45,0.38,1.4,0.22,2460,6,170,88,3.7,1.3,51,44,0,396,170.2,39.5,5.274766507,2.673532827,1.84582669,1.30833282,5.142832464,3.701301974,0,0,6.550061184,4.424735943,0,3.541096772,0,1.131736723,0,0,0.860583952,0,0,0,-2.113211343,0,0,0.308413857,-1.540208474,0,0,-3.310914534,1.122503047,0,3.707070463,3.091171327,0,-0.424228484,1.75099992,-3.441162965,2.543852258,0,0,0,0,0,0,0,-1.292728552,0,0,-0.245409558,-2.442634135,2.531191572,0,-0.659685296,0,0.609378974,1.058646705,-1.379739929,-4.288460826,0,1.06181628,-2.55385977,1.86851816,3.280262735,0.73979607,0,0,0,0,-3.595313645,0,0.902642456,-2.822123757,0,4
E05,Haftay-Humera,668,36.77644444,14.19330556,7.6,576,17.7,4,191,0.7,0.2,40,4.3,1,3.1,370,84,0,0,5,175,9,69,0.41,1.2,0.13,520,23,10,71,2.9,0.5,48,49,0,439,3.4,1.7,3.292762586,1.905255888,1.466337069,1.064710737,1.470175845,0.993251773,0,0,6.413738749,4.546235172,0,5.03846228,0,1.247973446,-3.927234224,-3.32109842,1.036775229,0,0,0,0.776271863,-3.32109842,0,-0.154473285,-1.675942425,0,0,0,4.300363956,-1.611119934,4.15471636,3.981950038,0,1.087077971,2.922427876,-1.770184629,3.349047318,-2.19304148,-1.205654826,0,0,0,-1.611119934,-3.19157031,-3.751186098,0,0,-0.133534153,0,2.966920849,-4.03886817,-1.077037448,-2.304267115,0.989388725,2.162992356,0.646344724,0,0,1.652616777,-0.094055342,2.371854807,4.016606972,0.200057621,-4.444333278,0,-4.444333278,0,0,0,1.368303601,0,0,7
E06,Abergele,1627,38.99227778,13.23288889,6.8,200,17.7,13,0,0,0,29,1.9,1.4,1.1,139,85,0,40,2.7,0,14,10,NA,0.2,0,790,2,70,66,0,0,38,42,20,134,10.1,1.5,10.85697161,3.131737182,2.48490665,1.410986974,2.406945108,0.916290732,28.74492754,17.97560847,6.353617298,4.74288745,0,4.106456142,0,2.770718961,-2.041465394,0,-0.178648003,0,0,0,1.42063017,-4.704053221,0,-1.31402914,-1.167936521,0,0,-2.247317448,3.355644454,-1.718400602,2.851466188,3.639952978,0,-0.38011546,1.975932703,0,2.635499798,-1.089791942,-0.673276998,0,0,0,0,0,-2.411547782,0,-2.699229855,1.990587805,0,1.638060886,0,-3.392377035,0,-4.490989324,0.766506048,-0.95003,0,0,0.605823666,-0.853403164,1.098130242,3.291817939,-2.048642289,0,0,0,0,0,0,0.214026197,0,0,7
E07,Artuma-Fursi,1461,39.92683333,10.52166667,6.2,359,21.4,8.5,11,0.7,0.3,150,4.3,1.7,0.1,213,85,0.8,260,3,225,9,83,0.61,1.9,0,1420,13,75,98,3.1,0,41,12,44,252,1.6,0.9,3.439307358,3.433333333,1.466337069,1.481604541,0.965080896,0.641853886,0,0,6.424814007,4.6518455,0,4.991419869,-3.385898041,1.815051475,-1.894243164,0,2.20508894,0,-3.503681076,0,1.203594333,-0.938731719,0,0.67454497,-2.944065288,0,0,-1.334627376,3.111547079,-4.17516934,3.970525293,3.216862228,0,0.454693459,1.25636687,0,2.143798774,-2.035103176,0,0,0,0,-1.018168919,0,-1.341955996,0,-2.671091943,1.063928667,0,2.571242789,0,-0.773971958,0,0.707632583,1.62845847,-3.076557051,0,0,0.608147032,-2.565731427,2.158997994,3.280707348,0.63294169,-3.076557051,0,-2.303367163,0,-2.922406371,0,2.265777201,0,0,12
E08,Artuma-Fursi,1452,39.94766667,10.515,6.5,319,23.1,6.9,7,0.6,0.2,249,3.3,1,2.1,283,84,2.8,670,6.8,455,31,41,0.9,1.9,0.31,1750,11,100,103,2.1,2,51,27,18,337,18.4,3.5,11.94841078,2.754592125,2.564949357,1.335001067,2.965273066,1.504077397,0,0,6.550088124,4.061693616,0,4.884072032,0,2.594281726,-2.700362235,0,1.330924192,-4.715265255,-2.518040678,0,0.624673786,-2.412680162,0,-0.145722247,0,0,0,0,3.058118841,-3.800245229,3.935625091,3.190011272,0,0.254434077,1.590347414,-4.205710337,2.578180955,-0.967031885,-2.500962245,0,0,0,-0.928565604,-3.107098048,-0.891524332,-3.289419605,0,1.02539828,0,2.662264072,0,-0.078575952,0,0.710614278,1.634931321,-1.640760979,0,0,0.757134293,-1.185285451,2.351068019,3.664264606,0.399459849,0,-4.205710337,0,0,0,0,2.047156474,0,0,12
E09,Abergele,1587,38.99347222,13.25727778,6.7,60,4,4.5,0,0,0,39,1.6,1.8,1.2,77,87,0.6,0,3,0,1,7,NA,0,0.13,0,5,0,7,0,0.5,12,42,46,89,3.1,1,11.56381545,3.165964835,2.538973871,1.435084525,1.404870747,0.693147181,24.91999413,14.2037187,6.583825359,5.1151827,-4.938422264,4.215911971,0,0.920462818,-2.635837171,0,0.140909561,0,0,0,-1.10256062,0,0,0.799224725,1.089856256,0,0,-1.208720815,2.719175539,-2.407333706,3.364107418,3.538690829,0,0.47875539,2.006862212,-2.407333706,2.757891732,-0.152001497,0.192502911,-3.362845151,0,-2.66969797,-2.081911305,-1.676446197,-0.517935767,0,-2.487376413,2.274797522,0,2.091620898,0,-2.333225733,0,-0.66821797,1.476606331,-0.529631807,0,0,0.701040204,-0.104748613,1.706059052,3.496979595,-0.236084615,-2.892841521,0,0,0,-1.36136515,0,1.803083028,0,0,7
E10,Haftay-Humera,668,36.57638889,13.97044444,7.6,795,57.7,15,290,2.6,0.7,49,4.9,1.2,2.4,340,84,0,50,3.4,0,5,94,0.37,1.4,0,570,25,10,40,3.8,0,50,35,11,395,0,0,4.997944536,5,1.791759469,1.791759469,0,0,0,0,6.624653128,4.882277317,0,5.252250517,0,2.079826596,-2.878558007,-3.079228703,-0.386104152,0,0,0,0.534687713,-3.197011738,0,-1.21601027,-0.170507806,0,0,0,3.060655849,-0.963865688,3.565482431,4.209401737,0,0.503921708,2.938297549,-4.934157601,3.083479559,-1.601953091,0,0,0,-2.295100271,0,0,0,0,0,0.521163514,0,1.34060442,0,-2.2261074,-2.736933024,-0.945173555,1.552003188,-0.456820787,0,0,0.979345405,1.14118843,2.057019286,4.072841847,-1.676061063,-3.142398132,0,-3.835545312,0,0,0,1.480939358,-2.631572508,0,7
